iter	Logloss
313	0.08949650914
314	0.08930661452
315	0.08913258738
316	0.08897745224
317	0.08888299069
318	0.08874196606
319	0.08858107528
320	0.08839671448
321	0.08824322482
322	0.08811568498
323	0.08798257653
324	0.08782152106
325	0.08765888886
326	0.08746009146
327	0.08736638689
328	0.0872864635
329	0.08713438958
330	0.08697887848
331	0.08679498849
332	0.08666895428
333	0.08651059253
334	0.08635583362
335	0.08623214463
336	0.08611868229
337	0.08600430092
338	0.08590327226
339	0.0857355524
340	0.08557855233
341	0.08540720374
342	0.08529905677
343	0.08518114377
344	0.08503429237
345	0.08497011341
346	0.08481199824
347	0.08459878875
348	0.0844748427
349	0.0843227728
350	0.08420400196
351	0.0840620347
352	0.08392590329
353	0.08380860331
354	0.08375092471
355	0.08361600178
356	0.08349645273
357	0.0833261546
358	0.08329866236
359	0.08320782567
360	0.08303402808
361	0.08288114912
362	0.08270925037
363	0.08253673475
364	0.08241217952
365	0.08230694202
366	0.08217236328
367	0.08204438716
368	0.08192295732
369	0.08182980865
370	0.08168452058
371	0.08159608308
372	0.08147537194
373	0.08132256047
374	0.0812090874
375	0.08107784466
376	0.08099574095
377	0.08086550022
378	0.08072616344
379	0.08055240439
380	0.08040723837
381	0.0802782428
382	0.08015777939
383	0.08004009336
384	0.07993499297
385	0.07977723969
386	0.07962472894
387	0.07947606702
388	0.07939584285
389	0.07930034944
390	0.07916988751
391	0.07902681053
392	0.07895500271
393	0.07888069951
394	0.07874803572
395	0.07861039163
396	0.0784584329
397	0.0783411002
398	0.0782157683
399	0.07811879601
400	0.0779777302
401	0.07786960974
402	0.07773163606
403	0.07766637798
404	0.07753804145
405	0.07747902641
406	0.07737018447
407	0.0772385559
408	0.07713205125
409	0.07695318863
410	0.07688174988
411	0.07674414374
412	0.07664473883
413	0.07657758051
414	0.07648801628
415	0.07636065178
416	0.07627876409
417	0.07609645734
418	0.07591513933
419	0.07581950267
420	0.07570466389
421	0.07560807517
422	0.07553744604
423	0.0754217011
424	0.07538858208
425	0.07529051881
426	0.07520207198
427	0.07507084425
428	0.07496416894
429	0.07477764528
430	0.07465887461
431	0.07456495964
432	0.07446838131
433	0.07437470028
434	0.07422861056
435	0.07415041215
436	0.07406704112
437	0.07400304683
438	0.07389437225
439	0.07382735942
440	0.07377792857
441	0.07365932791
442	0.07351690629
443	0.07340237713
444	0.07325316988
445	0.07310070555
446	0.07294919591
447	0.0728984798
448	0.07278611759
449	0.072672925
450	0.07259063608
451	0.07249231209
452	0.07246385874
453	0.07234970961
454	0.07223424302
455	0.07217937636
456	0.072093966
457	0.07197802292
458	0.07190209776
459	0.07177513647
460	0.07167030074
461	0.0714834242
462	0.07135972149
463	0.07124197078
464	0.07117372902
465	0.07106087741
466	0.070973265
467	0.07083699205
468	0.07072288764
469	0.07065109062
470	0.07055510513
471	0.07047818423
472	0.07039086763
473	0.07029227199
474	0.07015306001
475	0.07003945219
476	0.06992290919
477	0.06988820928
478	0.06978803884
479	0.06966019458
480	0.06958106135
481	0.06956351307
482	0.06946224342
483	0.06937892154
484	0.06932843008
485	0.06914568565
486	0.0690700087
487	0.06896709753
488	0.068869154
489	0.0688015917
490	0.06868673685
491	0.0685695167
492	0.06847473587
493	0.06835765428
494	0.06815125144
495	0.0680643902
496	0.06795050832
497	0.06781297788
498	0.06774709958
499	0.06761304692
